locality,province,stars,name
Montecchio Precalcino,VI,1,La Locanda di Piero
Isola Rizza,VR,2,Perbellini
Costermano,VR,1,La Casa degli Spiriti
Malcesine,VR,1,Vecchia Malcesine
Verona,VR,2,Il Desco
Verona,VR,1,Osteria la Fontanina
Alta Badia /Corvara,BZ,1,La Stua de Michil (H La Perla)
Alta Badia/San Cassiano,BZ,2,St. Hubertus (H Rosa Alpina)
Alta Badia/San Cassiano,BZ,1,La Siriola (H Ciasa Salares) 
Appiano / San Michele,BZ,1,Zur Rose
Castelbello Ciardes,BZ,1,Kuppelrain
Chiusa,BZ,2,Jasmin 
Falzes/Molini,BZ,1,Schöneck 
Merano,BZ,1,Sissi
Merano/Freiberg,BZ,1,Castel Fragsburg (H Castel Fragsburg)
Mules,BZ,1,Gourmetstube Einhorn
Ortisei,BZ,1,Anna Stuben (Hotel Gardena)
Sarentino,BZ,1,Auener Hof
Selva di Val Gardena,BZ,1,Alpenroyal Gourmet (Alpenroyal G. Hotel)
Tesimo,BZ,1,Zum Löwen
Tirolo,BZ,2,Trenkerstube (H Castel)
Vandoies,BZ,1,La Passion
Vipiteno,BZ,1,Kleine Flamme
Cavalese,TN,1,El Molin
Madonna di Campiglio,TN,1,Il Gallo Cedrone (Hotel Bertelli)
Madonna di Campiglio,TN,1,Stube Hermitage (Bio Hotel Hermitage)
Moena,TN,1,Malga Panna
Ronzone,TN,1,Orso Grigio (H Villa Orso Grigio)
Trento,TN,1,Scrigno del Duomo
Trento/Ravina,TN,1,Locanda Margon
Cormons,GO,1,Al Cacciatore- della Subida
Dolegna del Collio/Ruttars,GO,1,C Castello di Trussio dell'Aquila d'Oro
Pasiano di Pordenone /Cecchini,PN,1,Il Cecchini ( H Il Cecchini)
San Quirino,PN,1,La Primula
Colloredo di Monte Albano,UD,1,La Taverna 
Rivignano,UD,1,Al Ferarut
Ruda,UD,1,Osteria Altran
Udine/Godia,UD,1,mN Agli Amici
Bologna,BO,1,I Portici (H i Portici)
Imola,BO,2,San Domenico
Sasso Marconi,BO,1,Marconi
Savigno,BO,1,Trattoria da Amerigo
Bagno di Romagna,FC,1,Paolo Teverini (H. Tosco Romagnolo)
Cervia- Milano Marittima,FC,1,La Frasca
Cesenatico,FC,1,Magnoglia
Codigoro,FE,1,La Capanna di Eraclio
Modena,MO,2,Osteria Francescana 
Modena,MO,1,Hostaria del Mare
Modena,MO,1,Strada Facendo
Modena,MO,1,L'Erba del Re
Besenzone/Bersano,PC,1,La Fiaschetteria
Borgonovo Val Tidone,PC,1,La Palta
Carpaneto Piacentino,PC,1,Nido del Picchio
Piacenza,PC,1,Antica Osteria del Teatro
Parma,PR,1,Al Tramezzo
Parma,PR,1,Parizzi
Polesine Parmense,PR,1,Antica Corte Pallavicina
